l I 0.7055997
i j 0.60761106
h b 0.60655975
d q 0.56582844
q H 0.5187808
E F 0.50781643
h n 0.49687225
e a 0.4593748
r T 0.4550633
m n 0.45188108
k L 0.4473123
o Q 0.43922517
n p 0.43599275
H M 0.431642
f t 0.42826432
B E 0.42536384
A H 0.4171873
z L 0.41515577
K R 0.40131876
E L 0.39430112
d H 0.38658267
P R 0.38047755
M V 0.3795034
B R 0.37756625
I T 0.37641928
K X 0.37220886
g Q 0.36872727
f i 0.36554426
p D 0.36257505
L Z 0.3622603
d i 0.35731912
D U 0.35133272
M N 0.34793556
h i 0.34763694
e c 0.34525394
M W 0.3429677
p b 0.34213513
r Y 0.34097326
d a 0.3406084
D b 0.33773565
N T 0.33692724
A N 0.3362876
O Q 0.32876307
G c 0.32483503
v w 0.32155818
h k 0.32083824
e o 0.31921554
d j 0.31864047
g q 0.3165833
B D 0.31628188
H N 0.3103005
q u 0.30967775
J U 0.30845225
x Y 0.30706978
v y 0.30564973
g s 0.30397502
o a 0.30223292
d A 0.29998305
X Y 0.29957312
A M 0.2991517
i t 0.2943121
u W 0.29407948
m p 0.2935236
K N 0.2909298
f r 0.29090375
V W 0.29037154
s u 0.28800425
e Q 0.28634506
y J 0.28358322
g B 0.28330156
k b 0.2814846
i A 0.27984858
k E 0.27960682
U V 0.27822456
h B 0.27787375
H U 0.2768777
D O 0.2758763
V Y 0.27221423
r F 0.26855582
J L 0.26350617
u w 0.26317117
m w 0.2617883
q A 0.25943047
E H 0.25899827
z c 0.25883937
